,Unnamed: 0,placekey,safegraph_place_id,parent_placekey,parent_safegraph_place_id,location_name,safegraph_brand_ids,brands,top_category,sub_category,naics_code,latitude,longitude,street_address,city,region,postal_code,iso_country_code,phone_number,open_hours,category_tags,opened_on,closed_on,tracking_opened_since,tracking_closed_since
1447537,426844,zzw-222@5r8-dxs-vzz,sg:c79f2a6b343842eda5b2d7fd492fa89c,,,Bartlesville Public Library,,,Other Information Services,Libraries and Archives,519120.0,36.747168,-95.977842,600 S Johnstone Ave,Bartlesville,OK,74003,US,19183384161.0,,,,,,2019-07
1447882,427190,223-222@5r8-g32-bc5,sg:dc84e88cecae4dd4a64b4434860234a3,,,Best Buds Dispensary,,,Drugs and Druggists' Sundries Merchant Wholesalers,Drugs and Druggists' Sundries Merchant Wholesalers,424210.0,36.368964,-96.036386,4300 W Rogers Blvd,Skiatook,OK,74070,US,,,,,,,2019-07
1472418,451751,223-223@5r8-drv-8vz,sg:f1fd4603684c4a1cab0916665fefc65b,,,Ascension Health,SG_BRAND_6c6c46d79d7e982d,Ascension Health,Offices of Physicians,Offices of Physicians (except Mental Health Specialists),621111.0,36.562417,-96.161487,112 N 5th St,Barnsdall,OK,74002,US,,,,,,,
1491682,471036,zzw-222@5r8-drv-8y9,sg:b3b8cf5e6683436d9b531c7b4f99d33d,,,Andy's Hamburgers,,,Restaurants and Other Eating Places,Full-Service Restaurants,722511.0,36.561392,-96.161652,105 N 5th St,Barnsdall,OK,74002,US,19188472156.0,,Burgers,,,,2019-07
1504215,483578,22g-222@5r8-dnf-kj9,sg:d61d1020223041b39b15255e1d1e4671,,,Assembly of God Church,,,Religious Organizations,Religious Organizations,813110.0,36.670727,-96.321381,1302 Abbott Ave,Pawhuska,OK,74056,US,19182874070.0,,,,,,2019-07
1516326,495698,zzw-222@5r8-hsm-rtv,sg:dd7b467193cb45a09931c8518845b00b,,,Hominy Early Childhood Center,,,Elementary and Secondary Schools,Elementary and Secondary Schools,611110.0,36.413628,-96.390805,200 S Pettit Ave,Hominy,OK,74035,US,19188856813.0,,,,,,2019-07
1519863,499238,zzw-223@5r8-dy3-28v,sg:ba6a5946d10e46c788d351bd20de6837,,,Expert Glass,,,Automotive Repair and Maintenance,Automotive Glass Replacement Shops,811122.0,36.750883,-95.968688,800 SE Frank Phillips Blvd,Bartlesville,OK,74003,US,19183366521.0,,,,2020-01,,2019-07
1523865,503243,zzy-222@5r8-md8-v4v,sg:b8b74a86b48f47e58d6b67c3b89c4c06,,,Boulanger Cemetery,,,Death Care Services,Cemeteries and Crematories,812220.0,36.961987,-96.219449,Boulanger Cemetery,Pawhuska,OK,74056,US,,,,,,,2019-07
1536094,515485,zzw-222@5r8-g2x-26k,sg:bfe7564d19b34dc9bf8bcc3e0bad75f9,,,Mind Body Fitness,,,Other Amusement and Recreation Industries,Fitness and Recreational Sports Centers,713940.0,36.368701,-95.998622,305 E Rogers Blvd,Skiatook,OK,74070,US,19186041393.0,,,,,,2019-07
1575863,555292,22f-222@5r8-dy3-3nq,sg:a608a6f6d7fa4530bfcd017d5a240785,,,McCoy Jewelers,,,"Jewelry, Luggage, and Leather Goods Stores",Jewelry Stores,448310.0,36.750419,-95.975715,306 S Dewey Ave,Bartlesville,OK,74003,US,19183364300.0,"{ ""Mon"": [[""10:00"", ""17:30""]], ""Tue"": [[""10:00"", ""17:30""]], ""Wed"": [[""10:00"", ""17:30""]], ""Thu"": [[""10:00"", ""17:30""]], ""Fri"": [[""10:00"", ""17:30""]], ""Sat"": [], ""Sun"": [] }",,,,,2019-07
1576888,556320,zzy-222@5r8-drx-qmk,sg:eaaba02a229e42489aeaecad29a2164c,,,Javine Cemetery,,,Death Care Services,Cemeteries and Crematories,812220.0,36.589607,-96.151529,Javine Cemetery,Barnsdall,OK,74002,US,,,,,,,2019-07
1582252,561686,zzy-222@5r8-j3q-7wk,sg:40b1941f531c416f9173fa9fb5b937cc,,,Whitehorn Cemetery,,,Death Care Services,Cemeteries and Crematories,812220.0,36.458166,-96.591199,State Highway 20,Hominy,OK,74035,US,,,,,,,2019-07
1597211,576663,zzw-222@5r8-g32-bff,sg:fef73aa402244c3291563de068ebc6c4,,,Dollar General,SG_BRAND_a4efb9d8ddf0f71207d49f713c5bc1e9,Dollar General,"General Merchandise Stores, including Warehouse Clubs and Supercenters",All Other General Merchandise Stores,452319.0,36.369975,-96.039255,4950 W Rogers Blvd,Skiatook,OK,74070,US,,,,,,2020-05,2020-05
1603788,583248,223-222@5r8-hsk-sh5,sg:9aa3ce76fcb24bac9e075094723eee1b,,,United States Postal Service (USPS),SG_BRAND_27ee73cd1fb6f5e432852fea401eacce,United States Postal Service (USPS),Postal Service,Postal Service,491110.0,36.414038,-96.397194,402 W 1st St,Hominy,OK,74035,US,19188852770.0,,,,,2020-12,2020-12
1610646,590116,222-222@5r8-dks-kvf,sg:559dddf9b1e446a691b2cc2c350820c9,,,Carter's Grog Shop,,,"Beer, Wine, and Liquor Stores","Beer, Wine, and Liquor Stores",445310.0,36.665398,-96.357747,1230 W Main St,Pawhuska,OK,74056,US,19182873249.0,,,,,,2019-07
1614036,593509,227-222@5r8-hsk-t5f,sg:31eea32b4b4c4de7990bdf87efe7cb00,,,First United Methodist Church,,,Religious Organizations,Religious Organizations,813110.0,36.412069,-96.393755,108 E 3rd St,Hominy,OK,74035,US,19188852314.0,,,,,,2019-07
1629582,609076,222-222@5r8-g3t-zfz,sg:15be33d586264205a5bdd9a4436325f6,,,Fitness Time,,,Other Amusement and Recreation Industries,Fitness and Recreational Sports Centers,713940.0,36.367328,-96.047268,5043 W 4th St,Skiatook,OK,74070,US,19183969959.0,,,,,,2019-07
1663435,642957,227-222@5r8-dnf-87q,sg:86ae7ac8e490430aa30cab894e4b321a,,,Benson Lumber,,,Building Material and Supplies Dealers,Home Centers,444110.0,36.668256,-96.331433,1020 Lynn Ave,Pawhuska,OK,74056,US,19182873788.0,,,,,,2019-07
1673166,652694,zzw-222@5r8-f2f-6p9,sg:f326cd79818941ce90bcece053e6cce6,,,Oak Park United Methodist Church,,,Religious Organizations,Religious Organizations,813110.0,36.778354,-95.992759,601 Brentwood Rd,Bartlesville,OK,74003,US,19183365425.0,"{ ""Mon"": [[""9:00"", ""12:00""]], ""Tue"": [[""9:00"", ""12:00""]], ""Wed"": [[""9:00"", ""12:00""]], ""Thu"": [[""9:00"", ""12:00""]], ""Fri"": [[""9:00"", ""12:00""]], ""Sat"": [], ""Sun"": [[""8:30"", ""11:00""]] }",,,,,2019-07
1674741,654270,225-222@5r8-dxz-brk,sg:525314da35934121bd1034d2de520981,,,Hideaway Pizza,,,Restaurants and Other Eating Places,Full-Service Restaurants,722511.0,36.751576,-95.977536,100 SW Frank Phillips Blvd,Bartlesville,OK,74003,US,19182148777.0,"{ ""Mon"": [[""11:00"", ""21:30""]], ""Tue"": [[""11:00"", ""21:30""]], ""Wed"": [[""11:00"", ""21:30""]], ""Thu"": [[""11:00"", ""21:30""]], ""Fri"": [[""11:00"", ""22:30""]], ""Sat"": [[""11:00"", ""22:30""]], ""Sun"": [[""11:00"", ""21:30""]] }",Pizza,,,,2019-07
1676733,656263,zzw-222@5r8-g2x-f2k,sg:d30a27bdb00c4c838d2e9fb2e67fc732,,,Farm Bureau Insurance,,,"Agencies, Brokerages, and Other Insurance Related Activities",Insurance Agencies and Brokerages,524210.0,36.368949,-96.007219,500 W Rogers Blvd,Skiatook,OK,74070,US,19183963149.0,,,,,,2019-07
1677923,657453,222-222@5r8-g2z-wkz,sg:1f9d86bd21ae41f3871d1f74c8a61f50,,,Church of the Nazarene,,,Religious Organizations,Religious Organizations,813110.0,36.364383,-96.030788,755 S Lenapah Ave,Skiatook,OK,74070,US,19183962563.0,,,,,,2019-07
1689471,669009,223-222@5r8-dxs-xbk,sg:097321ddf37c4ec384dafd44d5d21e7d,,,Bruce E Smith Ameriprise Financial Services,,,"Management, Scientific, and Technical Consulting Services",,5416.0,36.746899,-95.981427,701 SW Jennings Ave,Bartlesville,OK,74003,US,19183372772.0,"{ ""Mon"": [[""8:30"", ""16:00""]], ""Tue"": [[""8:30"", ""16:00""]], ""Wed"": [[""8:30"", ""16:00""]], ""Thu"": [[""8:30"", ""16:00""]], ""Fri"": [[""8:30"", ""16:00""]], ""Sat"": [], ""Sun"": [] }",,,,,2019-07
1690300,669838,zzw-222@5r8-ht8-tvz,sg:3d3b754f5d7b42729f2975e19f7844b8,,,Wynona Police Department Wynona Oklahoma,,,"Justice, Public Order, and Safety Activities",Police Protection,922120.0,36.546089,-96.325199,307 Osage St,Wynona,OK,74084,US,19188462499.0,,,,,,2019-07
1710881,690442,227-222@5r8-dy3-3wk,sg:57e163296a0e463ca3e7cf694fc65c85,,,Teco Home Appliances,,,Household Appliance Manufacturing,Major Household Appliance Manufacturing,335220.0,36.750281,-95.972298,419 SE Frank Phillips Blvd,Bartlesville,OK,74003,US,19183363922.0,,,,2020-01,,2019-07
1719862,699428,229-222@5r8-g2x-dqf,sg:923abba3482444ab96f285b727be181b,,,Skiatook Family Dental,,,Offices of Dentists,Offices of Dentists,621210.0,36.368346,-96.008682,102 S Cherry St,Skiatook,OK,74070,US,19183963952.0,"{ ""Mon"": [[""8:00"", ""16:00""]], ""Tue"": [[""8:00"", ""24:00""]], ""Wed"": [[""0:00"", ""4:00""], [""8:00"", ""16:00""]], ""Thu"": [[""8:00"", ""16:00""]], ""Fri"": [[""8:00"", ""16:00""]], ""Sat"": [], ""Sun"": [] }",,,,,2019-07
1719902,699468,22b-222@5r8-g2x-fxq,sg:956fd04ed78945fab2dc452e3934ae76,,,Taco Bueno,SG_BRAND_62e219693b40c048bf2dad225524695a,Taco Bueno,Restaurants and Other Eating Places,Limited-Service Restaurants,722513.0,36.368157,-96.0137,808 W Rogers Blvd,Skiatook,OK,74070,US,19183968022.0,,"Counter Service,Lunch,Fast Food,Drive Through,Breakfast,Mexican Food,Dinner",,,2021-02,2019-07
1724282,703850,zzy-223@5r8-dks-975,sg:b2423087598b4f36bb888aadd97584b4,,,Valero Energy,SG_BRAND_efcbcd9984a46b4d7bed503b4ac5bc95,Valero Energy,Gasoline Stations,Gasoline Stations with Convenience Stores,447110.0,36.665648,-96.351963,914 W 7th,Pawhuska,OK,74056,US,,,,,,2021-02,2021-02
1749304,728904,zzy-222@5r8-f28-gkz,sg:f1a70a0b713d4181b13d007de4e22931,,,Planx Steak and Seafood,,,Restaurants and Other Eating Places,Full-Service Restaurants,722511.0,36.75003,-95.94238,3121 SE Frank Phillips Blvd,Skiatook,OK,74070,US,19183319321.0,,"Steak House,Seafood",,2020-01,,2019-07
1749990,729591,zzy-223@5r8-dyq-yn5,sg:1df02657c05b4e0db0bd0e787a1d1f23,,,Pets Health Hilton Vet Centre,,,Other Personal Services,Pet Care (except Veterinary) Services,812910.0,36.734074,-96.089127,142 Sir Donald Bradman Dr,Bartlesville,OK,74003,US,,"{ ""Mon"": [[""8:00"", ""19:00""]], ""Tue"": [[""8:00"", ""19:00""]], ""Wed"": [[""8:00"", ""19:00""]], ""Thu"": [[""8:00"", ""19:00""]], ""Fri"": [[""8:00"", ""19:00""]], ""Sat"": [], ""Sun"": [[""8:30"", ""12:00""]] }",,,,,2019-07
1758070,737683,222-222@5r8-g3w-tn5,sg:2ae5e3660c474f9ba5e144c1ce3d30ac,,,The Church of Jesus Christ of Latter day Saints,,,Religious Organizations,Religious Organizations,813110.0,36.376416,-96.110997,15314 Lake Rd,Skiatook,OK,74070,US,19183967333.0,,,,2020-01,,2019-07
1761948,741563,223-223@5r8-dxs-yjv,sg:227fde0d47b8434ca9220320097691a4,,,Conoco Phillips Company,,,Depository Credit Intermediation,Commercial Banking,522110.0,36.748568,-95.978189,501 S Johnstone Ave,Bartlesville,OK,74003,US,19183367662.0,,,,,,2019-07
1772541,752170,224-222@5r8-g3t-ysq,sg:c9e771cf2621449e9382b5cc3cf7b24f,,,Happy Tooth,,,Offices of Dentists,Offices of Dentists,621210.0,36.369047,-96.050188,5265 W Rogers Blvd,Skiatook,OK,74070,US,19183967766.0,,,,,,2019-07
1772785,752414,227-222@5r8-dnf-4y9,sg:d96442864ec74888a88220eebf2a23b2,,,First Christian Church Presbyterian Disciples,,,Religious Organizations,Religious Organizations,813110.0,36.666656,-96.33497,814 Prudom Ave,Pawhuska,OK,74056,US,19182873229.0,,,,,,2019-07
1776404,756040,228-222@5r8-g32-rrk,sg:c376ba75809242568e3eb09d2b50823f,,,Pizza Hut,SG_BRAND_1f2a4b730dc533366115ba7f5168b074,Pizza Hut,Restaurants and Other Eating Places,Limited-Service Restaurants,722513.0,36.36821,-96.019116,1355 W Rogers Blvd Ste 11,Skiatook,OK,74070,US,19183967770.0,,"Counter Service,Pizza,Lunch,Take Out and Delivery Only,Catering,Dinner",,,2019-10,2019-07
1785476,765122,zzw-222@5r8-dy4-cdv,sg:016d08a29c8b4fdeab6be95bdc2bf02b,,,Mnich,,,Grocery Stores,Supermarkets and Other Grocery (except Convenience) Stores,445110.0,36.749822,-95.99987,1849 W 4th St,Bartlesville,OK,74003,US,,,,,,,2019-07
1790006,769657,zzw-222@5r8-dxz-bhq,sg:252d1765fa22425d9a4422c22abefda9,,,Superior Manufacturing,,,Other Miscellaneous Manufacturing,,3399.0,36.753463,-95.977208,101 N Johnstone Ave,Bartlesville,OK,74003,US,19183365075.0,,,,,,2019-07
1791928,771579,226-223@5r8-g2x-3h5,sg:9cf471d9765b46c69e6f2fd45f6857c3,,,Pakalolo Dock,,,Drugs and Druggists' Sundries Merchant Wholesalers,Drugs and Druggists' Sundries Merchant Wholesalers,424210.0,36.368139,-96.002892,201 W Rogers Blvd,Skiatook,OK,74070,US,,,,,,,2019-07
1792959,772610,zzy-222@5r8-dnf-hh5,sg:e3ced4f8e77b41ba81752d80f3bef7c1,,,The Church of Jesus Christ of Latter day Saints,,,Religious Organizations,Religious Organizations,813110.0,36.672638,-96.318446,1700 E 15th St,Pawhuska,OK,74056,US,19182879964.0,,,,,,2019-07
1793236,772887,227-222@5r8-dy2-xkf,sg:f432ae47871242dba8604fc343b0f2aa,,,Samantha's,,,Restaurants and Other Eating Places,Full-Service Restaurants,722511.0,36.748581,-95.971228,601 E 4th St,Bartlesville,OK,74003,US,19188761591.0,,"Bar or Pub,Sandwich Shop,Tapas",,,,2019-07
1823056,802745,zzw-222@5r8-g2x-2hq,sg:730a0a88ab0446ddb8c47f2517a54557,,,United States Postal Service (USPS),SG_BRAND_27ee73cd1fb6f5e432852fea401eacce,United States Postal Service (USPS),Postal Service,Postal Service,491110.0,36.36977,-95.998447,303 E 2nd St,Skiatook,OK,74070,US,19183962495.0,,,,,2020-12,2020-12
1833906,813609,22f-222@5r8-dnf-5xq,sg:2fcdd8ec804d45a7a3ef5c8659a7c74c,,,Osage Outfitters,,,Clothing Stores,Women's Clothing Stores,448120.0,36.664306,-96.340325,519 Kihekah Ave,Pawhuska,OK,74056,US,19182873110.0,"{ ""Mon"": [], ""Tue"": [[""10:00"", ""18:00""]], ""Wed"": [[""10:00"", ""18:00""]], ""Thu"": [[""10:00"", ""18:00""]], ""Fri"": [[""10:00"", ""18:00""]], ""Sat"": [[""10:00"", ""18:00""]], ""Sun"": [] }",,,,,2019-07
1840252,819956,zzw-222@5r8-g32-s3q,sg:c149e204d74940f4b872a4402fc6a7a1,,,Senor Salsa,,,Restaurants and Other Eating Places,Full-Service Restaurants,722511.0,36.368891,-96.017888,1250 W Rogers Blvd,Skiatook,OK,74070,US,19183961888.0,,Mexican Food,,,,2019-07
1846785,826498,229-222@5r8-g2x-fxq,sg:675a924dd0254c589f07da1413ceec0d,,,Check 'n Go,SG_BRAND_55261a749d933e87bc4fce63819bed25,Check 'n Go,Nondepository Credit Intermediation,Consumer Lending,522291.0,36.36815,-96.012937,747 W Rogers Blvd Ste C,Skiatook,OK,74070,US,19183967488.0,"{ ""Mon"": [[""10:00"", ""18:00""]], ""Tue"": [[""10:00"", ""18:00""]], ""Wed"": [[""10:00"", ""18:00""]], ""Thu"": [[""10:00"", ""18:00""]], ""Fri"": [[""10:00"", ""18:00""]], ""Sat"": [], ""Sun"": [] }",,,,2019-12,2019-07
1848682,828397,22h-222@5r8-hsk-snq,sg:e42fe457e3e1469ba01510f9403e6468,,,Miller Real Estate,,,Offices of Real Estate Agents and Brokers,Offices of Real Estate Agents and Brokers,531210.0,36.415389000000005,-96.394713,112 W Main St,Hominy,OK,74035,US,19188854850.0,,,,,,2019-07
1849928,829644,zzw-225@5r8-drv-8vz,sg:309eeb9854cd412184bc3492c6c01bc7,,,Barnsdall Tag Agency,,,Administration of Economic Programs,Regulation and Administration of Transportation Programs,926120.0,36.561996,-96.161477,410 West Main St.,Barnsdall,OK,74002,US,19188472150.0,,,,,,2019-07
1851446,831164,22m-222@5r8-dy2-yn5,sg:8e46d5790d694b1b91b7258fdba5b4fc,,,Westminster Presbyterian Church,,,Religious Organizations,Religious Organizations,813110.0,36.745968,-95.965858,1001 SE Adams Blvd,Bartlesville,OK,74003,US,19183367410.0,,,,,,2019-07
1855973,835701,228-224@5r8-dnf-4sq,sg:b50a009868cf4a5ab490c246d9b2635f,,,Pawhuska Medical Clinic,,,Offices of Physicians,Offices of Physicians (except Mental Health Specialists),621111.0,36.665496000000005,-96.33784,701 Leahy Ave,Pawhuska,OK,74056,US,,,,,,,2019-07
1864447,844184,223-222@5r8-dnf-6c5,sg:daab7501d3ad477ca36f99346189d293,,,United States Postal Service (USPS),SG_BRAND_27ee73cd1fb6f5e432852fea401eacce,United States Postal Service (USPS),Postal Service,Postal Service,491110.0,36.66451,-96.338056,137 E 6th St,Pawhuska,OK,74056,US,19182874482.0,,,,,2020-12,2020-12
1874306,854057,zzw-224@5r8-dy2-y35,sg:5c8142e1e83446809774fbd62ea4d743,,,Big Brothers & Sisters,,,Individual and Family Services,Services for the Elderly and Persons with Disabilities,624120.0,36.749602,-95.971766,320 SE Delaware Ave Ste 7,Bartlesville,OK,74003,US,19183365437.0,"{ ""Mon"": [[""8:30"", ""17:30""]], ""Tue"": [[""8:30"", ""17:30""]], ""Wed"": [[""8:30"", ""17:30""]], ""Thu"": [[""8:30"", ""17:30""]], ""Fri"": [[""8:30"", ""17:30""]], ""Sat"": [], ""Sun"": [] }",,,,,2019-07
1874670,854421,222-222@5r8-dy2-bkz,sg:743e8423de7c4e47b49e9a8d6bfe4cac,,,Trends Thera Spa Massage,,,Personal Care Services,Other Personal Care Services,812199.0,36.77318,-95.990686,1025 N Virginia Ave,Bartlesville,OK,74003,US,19183379293.0,,,,,,2019-07
1901596,881379,222-222@5r8-g2z-hdv,sg:390654a2e25d431382d5af6d7de1702c,,,Tastee Freez Drive In,,,Restaurants and Other Eating Places,Snack and Nonalcoholic Beverage Bars,722515.0,36.368251,-95.992593,712 E Rogers Blvd,Skiatook,OK,74070,US,19183962539.0,"{ ""Mon"": [[""11:00"", ""21:00""]], ""Tue"": [[""11:00"", ""21:00""]], ""Wed"": [[""11:00"", ""21:00""]], ""Thu"": [[""11:00"", ""21:00""]], ""Fri"": [[""11:00"", ""21:00""]], ""Sat"": [[""11:00"", ""21:00""]], ""Sun"": [] }",Ice Cream Shop,,,,2019-07
1905480,885270,zzw-222@5r8-mkf-rp9,sg:31bda79a34314ee59c4ce0f38980da1f,zzy-222@5r8-mkf-rp9,sg:c4d60e52845e4673b3b158466ba3fdf9,Osage Ranch Fire Department,,,"Justice, Public Order, and Safety Activities",Fire Protection,922160.0,36.846103,-96.423406,3640 County Road 4201,Pawhuska,OK,74056,US,19182872103.0,,,,,,2019-07
1923709,903522,224-222@5r8-dnf-66k,sg:c1f9c5540d07485e93efa7acbd0e058e,,,LOREC Ranch Home Furnishings,,,Furniture Stores,Furniture Stores,442110.0,36.663606,-96.339951,536 Kihekah Ave,Pawhuska,OK,74056,US,19182873800.0,"{ ""Mon"": [[""9:00"", ""19:00""]], ""Tue"": [[""9:00"", ""19:00""]], ""Wed"": [[""9:00"", ""19:00""]], ""Thu"": [[""9:00"", ""19:00""]], ""Fri"": [[""9:00"", ""19:00""]], ""Sat"": [[""9:00"", ""19:00""]], ""Sun"": [] }",,,,,2019-07
1930576,910394,222-223@5r8-dy2-z2k,sg:7edc7b3c47f04b9bb6a59b75494e05f6,,,Copper Restaurant & Bar,,,Drinking Places (Alcoholic Beverages),Drinking Places (Alcoholic Beverages),722410.0,36.747885,-95.976133,510 S Dewey Ave,Bartlesville,OK,74003,US,,,"Bar or Pub,Late Night,American Food",,,,2019-07
1935472,915296,223-222@5r8-dxs-w6k,sg:ba8591e786c84639af0f4386dd7835e5,,,Bartlesville Fire Department Station 1,,,"Justice, Public Order, and Safety Activities",Fire Protection,922160.0,36.747537,-95.978526,601 S Johnstone Ave,Bartlesville,OK,74003,US,19183384091.0,,,,,,2019-07
1936214,916039,22g-222@5r8-dnf-5zz,sg:ec9f15db37d24e99adaaec529d2ec2b5,,,Grill 125,,,Restaurants and Other Eating Places,Full-Service Restaurants,722511.0,36.663577,-96.338744,125 E Main St,Pawhuska,OK,74056,US,19182873444.0,"{ ""Mon"": [[""11:00"", ""15:00""]], ""Tue"": [[""11:00"", ""15:00""]], ""Wed"": [[""11:00"", ""15:00""]], ""Thu"": [[""11:00"", ""21:00""]], ""Fri"": [[""11:00"", ""22:00""]], ""Sat"": [[""11:00"", ""22:00""]], ""Sun"": [] }","Bar or Pub,Sports Bar,Late Night",,,,2019-07
1956472,936312,22b-222@5r8-hsk-td9,sg:0c8a48675b0744d2945f2b42dfbe658d,,,First Baptist Church,,,Religious Organizations,Religious Organizations,813110.0,36.41431,-96.393649,202 S Price Ave,Hominy,OK,74035,US,19188854880.0,,,,,,2019-07
1959067,938911,226-222@5r8-hsm-fs5,sg:b085131f368a481e83f5033d27af5667,,,Jean's Flowers & Greenhouse,,,Florists,Florists,453110.0,36.418115,-96.392287,316 N Wood Ave,Hominy,OK,74035,US,19188854912.0,,,,,,2019-07
1964818,944669,222-222@5r8-dxz-mzf,sg:2553f2a782904abab84d78cf7e544d7b,,,Kiddie Kampus Lc,,,Child Day Care Services,Child Day Care Services,624410.0,36.756707,-95.987337,219 N Seminole Ave,Bartlesville,OK,74003,US,19183364251.0,,,,,,2019-07
1968118,947974,zzw-222@5r8-dnf-52k,sg:fe92eb1c22124a54829af070abbfa334,,,Church of the Nazarene,,,Religious Organizations,Religious Organizations,813110.0,36.66596,-96.333968,407 E 8th St,Pawhuska,OK,74056,US,19182871451.0,,,,,,2019-07
1985901,965773,222-222@5r8-dxt-bkz,sg:7b3d952b226f4acfb64d7941160e978f,,,Hertz,SG_BRAND_f373520f32c8e017a3a42344b5706960,Hertz,Automotive Equipment Rental and Leasing,Passenger Car Rental,532111.0,36.75262,-95.993166,117 S Morton Ave,Bartlesville,OK,74003,US,19183364883.0,,,2020-02,,2020-01,2020-01
1994501,974381,227-222@5r8-g2x-5j9,sg:afcd23b66f25405a8064532c3ce3d3dd,,,G3 Sports Cuts,,,Personal Care Services,Beauty Salons,812112.0,36.368675,-95.994504,611 E Rogers Blvd,Skiatook,OK,74070,US,19187285935.0,"{ ""Mon"": [[""9:00"", ""18:00""]], ""Tue"": [[""9:00"", ""18:00""]], ""Wed"": [[""9:00"", ""18:00""]], ""Thu"": [[""9:00"", ""18:00""]], ""Fri"": [[""9:00"", ""18:00""]], ""Sat"": [], ""Sun"": [] }",,,,,2019-07
2008509,988411,226-222@5r8-dy2-q75,sg:356285e2c1c849fab7e61357e56f284f,,,Boulevard Pharmacy,,,Health and Personal Care Stores,Pharmacies and Drug Stores,446110.0,36.750469,-95.964328,1117 SE Frank Phillips Blvd,Bartlesville,OK,74003,US,19183362140.0,"{ ""Mon"": [[""9:00"", ""19:00""]], ""Tue"": [[""9:00"", ""19:00""]], ""Wed"": [[""9:00"", ""19:00""]], ""Thu"": [[""9:00"", ""19:00""]], ""Fri"": [[""9:00"", ""19:00""]], ""Sat"": [[""9:00"", ""14:00""]], ""Sun"": [] }",,,,,2019-07
2009871,989774,223-222@5r8-f2h-vs5,sg:8d8c8b2e4210451d8cfdeabbd98acef0,,,Keepsake Candles,,,Other Miscellaneous Store Retailers,All Other Miscellaneous Store Retailers (except Tobacco Stores),453998.0,36.760634,-96.03498,263 County Road 3022,Bartlesville,OK,74003,US,19183360351.0,"{ ""Mon"": [[""10:00"", ""17:30""]], ""Tue"": [[""10:00"", ""17:30""]], ""Wed"": [[""10:00"", ""17:30""]], ""Thu"": [[""10:00"", ""17:30""]], ""Fri"": [[""10:00"", ""17:30""]], ""Sat"": [[""10:00"", ""16:00""]], ""Sun"": [] }",,,,,2019-07
2015341,995250,zzw-223@5r8-g34-5xq,sg:f04dd3abba2f427ea58cfc6b85bbdc7d,,,Soul Harvest,,,Religious Organizations,Religious Organizations,813110.0,36.364005,-96.00282,624 S Javine St,Skiatook,OK,74070,US,,,,,,,2019-07
2015647,995557,zzy-222@5r8-dks-975,sg:04b12e0c34fd410fba3160735f97f13d,zzy-224@5r8-dks-975,sg:59702447069b459283fb81feb09949f1,Maverick Mini Mart Number 26,,,Grocery Stores,Convenience Stores,445120.0,36.665625,-96.351864,914 W 7th,Pawhuska,OK,74056,US,,,,,,,2019-07
2018462,998377,zzw-222@5r8-dnf-66k,sg:bb07b3b1b6bc4f7185ee049643f095b1,,,The Pioneer Woman Mercantile,,,Grocery Stores,Convenience Stores,445120.0,36.663611,-96.339881,532 Kihekah Ave,Pawhuska,OK,74056,US,,"{ ""Mon"": [[""7:00"", ""19:00""]], ""Tue"": [[""7:00"", ""19:00""]], ""Wed"": [[""7:00"", ""19:00""]], ""Thu"": [[""7:00"", ""19:00""]], ""Fri"": [[""7:00"", ""20:00""]], ""Sat"": [[""7:00"", ""20:00""]], ""Sun"": [] }",,,,,2019-07
2025991,1005912,zzw-222@5r8-dxs-yn5,sg:9bc9082b556a4da9bb0b3dd8db249dfa,,,Ginger Bloom Massage,,,Personal Care Services,Other Personal Care Services,812199.0,36.750381,-95.97641,319 S Dewey Ave Ste 305,Bartlesville,OK,74003,US,19189733311.0,"{ ""Mon"": [[""9:00"", ""14:30""]], ""Tue"": [[""9:00"", ""14:30""]], ""Wed"": [[""9:00"", ""14:30""]], ""Thu"": [[""9:00"", ""14:30""]], ""Fri"": [[""9:00"", ""19:00""]], ""Sat"": [[""9:00"", ""19:00""]], ""Sun"": [] }",,,,,2019-07
2033448,1013378,zzw-222@5r8-dks-835,sg:7ad335415ff24398818e7c2f29b1ea3d,,,Beauty Barn,,,Personal Care Services,Other Personal Care Services,812199.0,36.664065,-96.343811,311 W Main St,Pawhuska,OK,74056,US,19182874252.0,,,,2020-01,,2019-07
2037270,1017204,zzw-223@5r8-dy3-649,sg:756f312a88074d1cb2f7f0bc59a4bc65,,,Richard Kane Es,,,Elementary and Secondary Schools,Elementary and Secondary Schools,611110.0,36.740033,-95.969228,801 E 13th St,Bartlesville,OK,74003,US,19183373711.0,,,,,,2019-07
2048596,1028545,223-223@5r8-g32-bc5,sg:58d87ec347bf4ffbab913f059b27ca97,,,Hwy 20 Diner,,,Restaurants and Other Eating Places,Full-Service Restaurants,722511.0,36.36898,-96.036438,4300 W Rogers Blvd,Skiatook,OK,74070,US,19183965100.0,,Diner,,2020-01,,2019-07
2052198,1032152,22m-222@5r8-dnf-5xq,sg:4532694a4b1f4d84a8dcd5f71fb24574,,,China Cafe,,,Restaurants and Other Eating Places,Full-Service Restaurants,722511.0,36.664539000000005,-96.340194,601 Kihekah Ave,Pawhuska,OK,74056,US,19182871300.0,,Chinese Food,,,,2019-07
